"Date","N2Oflux_ug_N2ON_m2_hr","Plot.VWC","CO2flux_umol_m2_s","NO3N.ug.gsoil.d","Plot.Temp","NH4N.ug.gsoil","NH4N.ug.gsoil.d","FeII.mg.g.Soil","NO3N.ug.gsoil","pH"
2017-02-22,629.829636480598,0.37874625,4.19192936706152,1.28490198809524,7.70671331249998,9.403658,-0.278054083333333,0.0339918306666667,27.2245163333333,7.56
2017-02-22,390.883625541721,0.315514666666667,2.94020328014343,1.13547020238095,7.48063866412038,7.61711733333333,-0.226978952380952,0.0362818973333333,15.56576,6.96
2017-02-22,1739.38251611489,0.3463705,15.3660389166293,0.596497404761903,7.31604418148148,2.080265,-0.0213450238095239,0.0349272036666667,26.9524346666667,7.96
2017-02-22,1741.61018584301,0.362311833333333,2.64473991883825,0.345357392857143,7.30338044722222,1.47979233333333,0.00634305952380964,0.0350249276666667,21.549619,8.1
2017-02-22,1098.05163199845,0.328629666666667,3.12884451020925,0.250361392857143,7.77296904930556,3.33624566666667,-0.0488331428571429,0.0237986513333333,15.0726613333333,7.68
2017-02-22,1765.07477125524,0.309180833333333,8.75100371202003,2.66024733333332,7.71789859074075,17.7332123333333,-0.557500940476189,0.0234053706666667,29.092698,6.41
2017-02-23,945.986525522039,0.37432375,4.23373477049516,1.28490198809524,6.0077332236111,9.403658,-0.278054083333333,0.0339918306666667,27.2245163333333,7.56
2017-02-23,267.411280869354,0.308093,1.88174535568404,1.13547020238095,5.65011791076389,7.61711733333333,-0.226978952380952,0.0362818973333333,15.56576,6.96
2017-02-23,1894.92610646303,0.345181,8.22680651367049,0.596497404761903,5.88352620625,2.080265,-0.0213450238095239,0.0349272036666667,26.9524346666667,7.96
2017-02-23,1933.28237978392,0.3591805,2.69218147469476,0.345357392857143,4.98915681527778,1.47979233333333,0.00634305952380964,0.0350249276666667,21.549619,8.1
2017-02-23,972.182735162277,0.325356,1.96531442629341,0.250361392857143,5.31178071458334,3.33624566666667,-0.0488331428571429,0.0237986513333333,15.0726613333333,7.68
2017-02-23,1921.39812935662,0.30547,5.4896459528908,2.66024733333332,5.08858686111111,17.7332123333333,-0.557500940476189,0.0234053706666667,29.092698,6.41
2017-02-24,89.1710338094775,0.324563,0.732256757835283,0.250361392857143,1.7887123125,3.33624566666667,-0.0488331428571429,0.0237986513333333,15.0726613333333,7.68
2017-02-24,393.638628563712,0.308154,0.757683428825131,2.66024733333332,1.86958974236111,17.7332123333333,-0.557500940476189,0.0234053706666667,29.092698,6.41
2017-02-26,173.92212998784,0.3569235,1.28671271212544,1.28490198809524,0.858199905395554,9.403658,-0.278054083333333,0.0339918306666667,27.2245163333333,7.56
2017-02-26,20.4638840695171,0.2828085,0.930032311467184,1.13547020238095,1.12957284013889,7.61711733333333,-0.226978952380952,0.0362818973333333,15.56576,6.96
2017-02-26,77.6709419314791,0.32665225,0.722178909182034,0.596497404761903,0.582119991122567,2.080265,-0.0213450238095239,0.0349272036666667,26.9524346666667,7.96
2017-02-26,1074.50655614383,0.34217675,1.6806910037069,0.345357392857143,0.264564087644445,1.47979233333333,0.00634305952380964,0.0350249276666667,21.549619,8.1
2017-02-26,232.564000984766,0.31097525,0.692575916510846,0.250361392857143,0.589127909952778,3.33624566666667,-0.0488331428571429,0.0237986513333333,15.0726613333333,7.68
2017-02-26,298.489798633928,0.288878,1.05535850619269,2.66024733333332,0.621705664958333,17.7332123333333,-0.557500940476189,0.0234053706666667,29.092698,6.41
2017-02-27,179.544070018853,0.34379325,1.38285250357234,1.28490198809524,0.110633544000763,9.403658,-0.278054083333333,0.0339918306666667,27.2245163333333,7.56
2017-02-27,73.7377059247295,0.2676805,1.14849954646758,1.13547020238095,0.40605940940368,7.61711733333333,-0.226978952380952,0.0362818973333333,15.56576,6.96
2017-02-27,244.399456039241,0.321269,1.3576638030015,0.596497404761903,0.334902851089431,2.080265,-0.0213450238095239,0.0349272036666667,26.9524346666667,7.96
2017-02-27,309.244857425222,0.335421,0.760236875433355,0.345357392857143,0.0614964364233333,1.47979233333333,0.00634305952380964,0.0350249276666667,21.549619,8.1
2017-02-27,124.140453329895,0.3010475,0.779399577875237,0.250361392857143,0.277985657290417,3.33624566666667,-0.0488331428571429,0.0237986513333333,15.0726613333333,7.68
2017-02-27,494.386482607643,0.283083,1.34395054100663,2.66024733333332,0.203115533582222,17.7332123333333,-0.557500940476189,0.0234053706666667,29.092698,6.41
2017-03-04,308.421530110775,0.249716,2.40845912258973,1.13547020238095,5.42724311319444,7.61711733333333,-0.226978952380952,0.0362818973333333,15.56576,6.96
2017-03-04,145.503634476662,0.3120275,3.42231547507658,0.462285464285714,5.12021246805556,4.40716766666667,-0.0967794166666668,0.038083691,25.0289983333333,6.78
2017-03-04,1640.31006328335,0.3311815,4.98045145983142,0.345357392857143,3.08738754722222,1.47979233333333,0.00634305952380964,0.0350249276666667,21.549619,8.1
2017-03-04,313.36680226699,0.295344,1.67989494220032,0.250361392857143,3.59839490509259,3.33624566666667,-0.0488331428571429,0.0237986513333333,15.0726613333333,7.68
2017-03-04,175.686980923123,0.2835405,0.643690902128673,2.66024733333332,3.51265093240741,17.7332123333333,-0.557500940476189,0.0234053706666667,29.092698,6.41
